model_id,family,x,ppl,repeat_rate,self_bleu
gpt2-large,temperature,0.5,5.077126762178436,0.75,0.004754804847129462
gpt2-large,temperature,0.7,11.005494541411496,0.625,0.04218518480840548
gpt2-large,temperature,0.9,10.10044746970923,0.5,0.1766197021675775
gpt2-large,temperature,1.0,9.090918409201745,0.625,0.048580830204342576
gpt2-large,temperature,1.2,510.9754776988425,0.375,0.08840869760072198
gpt2-large,top_k,1.0,5.434656023302545,0.75,0.12531228640846948
gpt2-large,top_k,10.0,3.594961967815557,0.625,0.09021707051940739
gpt2-large,top_k,40.0,6.05992918023472,0.5,0.025979183045230902
gpt2-large,top_k,160.0,8.498111448708915,0.375,0.02574253463371718
gpt2-large,top_k,640.0,13.292973075823543,0.5,0.024275387540724405
gpt2-large,top_p,0.85,8.90954982973787,0.625,0.017389957160665527
gpt2-large,top_p,0.9,9.006540620556716,0.625,0.008193290683402205
gpt2-large,top_p,0.95,16.20444254809277,0.75,0.1019714425665991
gpt2-large,top_p,0.97,9.820560376949064,0.375,0.09713048240904194
gpt2-large,top_p,0.99,9.403386723301837,0.625,0.024809193066606255
